Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/zl/gem5/src/python/m5/util/terminal_formatter.py                                                                                 | Python   |         37 |         77 |         16 |        130 |
| /home/zl/gem5/src/python/marshal.cc                                                                                                    | C++      |         22 |         36 |         10 |         68 |
| /home/zl/gem5/src/python/pybind11/core.cc                                                                                              | C++      |        194 |         50 |         49 |        293 |
| /home/zl/gem5/src/python/pybind11/core.hh                                                                                              | C++      |          7 |         36 |          7 |         50 |
| /home/zl/gem5/src/python/pybind11/debug.cc                                                                                             | C++      |         69 |         40 |         18 |        127 |
| /home/zl/gem5/src/python/pybind11/event.cc                                                                                             | C++      |        104 |         64 |         18 |        186 |
| /home/zl/gem5/src/python/pybind11/pybind.hh                                                                                            | C++      |          8 |         36 |          6 |         50 |
| /home/zl/gem5/src/python/pybind11/stats.cc                                                                                             | C++      |        114 |         41 |         23 |        178 |
| /home/zl/gem5/src/sim/ClockDomain.py                                                                                                   | Python   |         19 |         50 |          9 |         78 |
| /home/zl/gem5/src/sim/ClockedObject.py                                                                                                 | Python   |         11 |         37 |          7 |         55 |
| /home/zl/gem5/src/sim/DVFSHandler.py                                                                                                   | Python   |         12 |         47 |          7 |         66 |
| /home/zl/gem5/src/sim/InstTracer.py                                                                                                    | Python   |          7 |         25 |          3 |         35 |
| /home/zl/gem5/src/sim/PowerDomain.py                                                                                                   | Python   |          6 |         39 |          5 |         50 |
| /home/zl/gem5/src/sim/PowerState.py                                                                                                    | Python   |         17 |         53 |          8 |         78 |
| /home/zl/gem5/src/sim/Process.py                                                                                                       | Python   |         40 |         25 |          9 |         74 |
| /home/zl/gem5/src/sim/RedirectPath.py                                                                                                  | Python   |          8 |         30 |          4 |         42 |
| /home/zl/gem5/src/sim/Root.py                                                                                                          | Python   |         25 |         38 |         13 |         76 |
| /home/zl/gem5/src/sim/SubSystem.py                                                                                                     | Python   |          8 |         44 |          5 |         57 |
| /home/zl/gem5/src/sim/System.py                                                                                                        | Python   |         65 |         49 |         21 |        135 |
| /home/zl/gem5/src/sim/TickedObject.py                                                                                                  | Python   |          5 |         34 |          3 |         42 |
| /home/zl/gem5/src/sim/VoltageDomain.py                                                                                                 | Python   |          6 |         40 |          4 |         50 |
| /home/zl/gem5/src/sim/Workload.py                                                                                                      | Python   |         21 |         24 |          8 |         53 |
| /home/zl/gem5/src/sim/async.cc                                                                                                         | C++      |          6 |         27 |          3 |         36 |
| /home/zl/gem5/src/sim/async.hh                                                                                                         | C++      |          9 |         36 |          5 |         50 |
| /home/zl/gem5/src/sim/aux_vector.hh                                                                                                    | C++      |         46 |         32 |          7 |         85 |
| /home/zl/gem5/src/sim/backtrace.hh                                                                                                     | C++      |          4 |         42 |          4 |         50 |
| /home/zl/gem5/src/sim/backtrace_glibc.cc                                                                                               | C++      |         21 |         36 |          7 |         64 |
| /home/zl/gem5/src/sim/backtrace_none.cc                                                                                                | C++      |          5 |         36 |          3 |         44 |
| /home/zl/gem5/src/sim/byteswap.hh                                                                                                      | C++      |        109 |         44 |         16 |        169 |
| /home/zl/gem5/src/sim/byteswap.test.cc                                                                                                 | C++      |        300 |         27 |         11 |        338 |
| /home/zl/gem5/src/sim/clock_domain.cc                                                                                                  | C++      |        139 |         58 |         39 |        236 |
| /home/zl/gem5/src/sim/clock_domain.hh                                                                                                  | C++      |         82 |        172 |         48 |        302 |
| /home/zl/gem5/src/sim/clocked_object.cc                                                                                                | C++      |         19 |         41 |          5 |         65 |
| /home/zl/gem5/src/sim/clocked_object.hh                                                                                                | C++      |         88 |        127 |         36 |        251 |
| /home/zl/gem5/src/sim/core.cc                                                                                                          | C++      |         90 |         41 |         27 |        158 |
| /home/zl/gem5/src/sim/core.hh                                                                                                          | C++      |         36 |         51 |         16 |        103 |
| /home/zl/gem5/src/sim/cxx_config.cc                                                                                                    | C++      |          3 |         37 |          4 |         44 |
| /home/zl/gem5/src/sim/cxx_config.hh                                                                                                    | C++      |         92 |        103 |         43 |        238 |
| /home/zl/gem5/src/sim/cxx_config_ini.cc                                                                                                | C++      |         55 |         36 |         14 |        105 |
| /home/zl/gem5/src/sim/cxx_config_ini.hh                                                                                                | C++      |         27 |         43 |         15 |         85 |
| /home/zl/gem5/src/sim/cxx_manager.cc                                                                                                   | C++      |        514 |         70 |        132 |        716 |
| /home/zl/gem5/src/sim/cxx_manager.hh                                                                                                   | C++      |        114 |        146 |         53 |        313 |
| /home/zl/gem5/src/sim/debug.cc                                                                                                         | C++      |         68 |         46 |         18 |        132 |
| /home/zl/gem5/src/sim/debug.hh                                                                                                         | C++      |         10 |         45 |         11 |         66 |
| /home/zl/gem5/src/sim/drain.cc                                                                                                         | C++      |        151 |         41 |         35 |        227 |
| /home/zl/gem5/src/sim/drain.hh                                                                                                         | C++      |         68 |        260 |         32 |        360 |
| /home/zl/gem5/src/sim/dvfs_handler.cc                                                                                                  | C++      |        156 |         64 |         40 |        260 |
| /home/zl/gem5/src/sim/dvfs_handler.hh                                                                                                  | C++      |         69 |        155 |         37 |        261 |
| /home/zl/gem5/src/sim/emul_driver.hh                                                                                                   | C++      |         24 |         65 |         12 |        101 |
| /home/zl/gem5/src/sim/eventq.cc                                                                                                        | C++      |        296 |         85 |         66 |        447 |
| /home/zl/gem5/src/sim/eventq.hh                                                                                                        | C++      |        447 |        553 |        145 |      1,145 |
| /home/zl/gem5/src/sim/faults.cc                                                                                                        | C++      |         68 |         44 |         16 |        128 |
| /home/zl/gem5/src/sim/faults.hh                                                                                                        | C++      |         90 |         47 |         19 |        156 |
| /home/zl/gem5/src/sim/fd_array.cc                                                                                                      | C++      |        196 |        109 |         46 |        351 |
| /home/zl/gem5/src/sim/fd_array.hh                                                                                                      | C++      |         36 |        104 |         18 |        158 |
| /home/zl/gem5/src/sim/fd_entry.cc                                                                                                      | C++      |         52 |         36 |         11 |         99 |
| /home/zl/gem5/src/sim/fd_entry.hh                                                                                                      | C++      |        148 |         57 |         43 |        248 |
| /home/zl/gem5/src/sim/full_system.hh                                                                                                   | C++      |          5 |         37 |          5 |         47 |
| /home/zl/gem5/src/sim/futex_map.cc                                                                                                     | C++      |        130 |         32 |         36 |        198 |
| /home/zl/gem5/src/sim/futex_map.hh                                                                                                     | C++      |         41 |         66 |         21 |        128 |
| /home/zl/gem5/src/sim/global_event.cc                                                                                                  | C++      |         81 |         60 |         26 |        167 |
| /home/zl/gem5/src/sim/global_event.hh                                                                                                  | C++      |        111 |         86 |         41 |        238 |
| /home/zl/gem5/src/sim/guest_abi.hh                                                                                                     | C++      |         75 |         37 |         18 |        130 |
| /home/zl/gem5/src/sim/guest_abi.test.cc                                                                                                | C++      |        298 |         53 |         48 |        399 |
| /home/zl/gem5/src/sim/guest_abi/definition.hh                                                                                          | C++      |         18 |         89 |         12 |        119 |
| /home/zl/gem5/src/sim/guest_abi/dispatch.hh                                                                                            | C++      |         79 |         61 |         26 |        166 |
| /home/zl/gem5/src/sim/guest_abi/layout.hh                                                                                              | C++      |        114 |         48 |         25 |        187 |
| /home/zl/gem5/src/sim/guest_abi/varargs.hh                                                                                             | C++      |         93 |         81 |         28 |        202 |
| /home/zl/gem5/src/sim/init.cc                                                                                                          | C++      |        203 |         69 |         44 |        316 |
| /home/zl/gem5/src/sim/init.hh                                                                                                          | C++      |         53 |         42 |         20 |        115 |
| /home/zl/gem5/src/sim/init_signals.cc                                                                                                  | C++      |        115 |         70 |         32 |        217 |
| /home/zl/gem5/src/sim/init_signals.hh                                                                                                  | C++      |          8 |         27 |          4 |         39 |
| /home/zl/gem5/src/sim/insttracer.hh                                                                                                    | C++      |        144 |         88 |         45 |        277 |
| /home/zl/gem5/src/sim/kernel_workload.cc                                                                                               | C++      |         90 |         36 |         18 |        144 |
| /home/zl/gem5/src/sim/kernel_workload.hh                                                                                               | C++      |         66 |         55 |         25 |        146 |
| /home/zl/gem5/src/sim/linear_solver.cc                                                                                                 | C++      |         34 |         44 |          8 |         86 |
| /home/zl/gem5/src/sim/linear_solver.hh                                                                                                 | C++      |         64 |         47 |         22 |        133 |
| /home/zl/gem5/src/sim/main.cc                                                                                                          | C++      |         25 |         38 |         12 |         75 |
| /home/zl/gem5/src/sim/mathexpr.cc                                                                                                      | C++      |        120 |         50 |         21 |        191 |
| /home/zl/gem5/src/sim/mathexpr.hh                                                                                                      | C++      |         61 |         65 |         20 |        146 |
| /home/zl/gem5/src/sim/mem_state.cc                                                                                                     | C++      |        252 |        185 |         57 |        494 |
| /home/zl/gem5/src/sim/mem_state.hh                                                                                                     | C++      |        106 |        139 |         27 |        272 |
| /home/zl/gem5/src/sim/port.cc                                                                                                          | C++      |         11 |         43 |          7 |         61 |
| /home/zl/gem5/src/sim/port.hh                                                                                                          | C++      |         54 |         75 |         29 |        158 |
| /home/zl/gem5/src/sim/power/MathExprPowerModel.py                                                                                      | Python   |          8 |         39 |          4 |         51 |
| /home/zl/gem5/src/sim/power/PowerModel.py                                                                                              | Python   |         15 |         43 |          9 |         67 |
| /home/zl/gem5/src/sim/power/PowerModelState.py                                                                                         | Python   |         11 |         35 |          7 |         53 |
| /home/zl/gem5/src/sim/power/ThermalDomain.py                                                                                           | Python   |          9 |         36 |          5 |         50 |
| /home/zl/gem5/src/sim/power/ThermalModel.py                                                                                            | Python   |         88 |         40 |         31 |        159 |
| /home/zl/gem5/src/sim/power/mathexpr_powermodel.cc                                                                                     | C++      |         67 |         39 |         16 |        122 |
| /home/zl/gem5/src/sim/power/mathexpr_powermodel.hh                                                                                     | C++      |         25 |         66 |         15 |        106 |
| /home/zl/gem5/src/sim/power/power_model.cc                                                                                             | C++      |         81 |         47 |         24 |        152 |
| /home/zl/gem5/src/sim/power/power_model.hh                                                                                             | C++      |         83 |         79 |         36 |        198 |
| /home/zl/gem5/src/sim/power/thermal_domain.cc                                                                                          | C++      |         67 |         36 |         16 |        119 |
| /home/zl/gem5/src/sim/power/thermal_domain.hh                                                                                          | C++      |         34 |         61 |         19 |        114 |
| /home/zl/gem5/src/sim/power/thermal_entity.hh                                                                                          | C++      |         12 |         42 |          7 |         61 |
| /home/zl/gem5/src/sim/power/thermal_model.cc                                                                                           | C++      |        194 |         66 |         43 |        303 |
| /home/zl/gem5/src/sim/power/thermal_model.hh                                                                                           | C++      |         88 |         68 |         34 |        190 |
| /home/zl/gem5/src/sim/power/thermal_node.cc                                                                                            | C++      |         11 |         39 |          6 |         56 |
| /home/zl/gem5/src/sim/power/thermal_node.hh                                                                                            | C++      |         13 |         41 |          7 |         61 |
| /home/zl/gem5/src/sim/power_domain.cc                                                                                                  | C++      |        177 |         72 |         23 |        272 |
| /home/zl/gem5/src/sim/power_domain.hh                                                                                                  | C++      |         41 |        105 |         21 |        167 |
| /home/zl/gem5/src/sim/power_state.cc                                                                                                   | C++      |        163 |         79 |         41 |        283 |
| /home/zl/gem5/src/sim/power_state.hh                                                                                                   | C++      |         57 |         70 |         28 |        155 |
| /home/zl/gem5/src/sim/probe/Probe.py                                                                                                   | Python   |          7 |         35 |          4 |         46 |
| /home/zl/gem5/src/sim/probe/mem.hh                                                                                                     | C++      |         25 |         74 |         10 |        109 |
| /home/zl/gem5/src/sim/probe/pmu.hh                                                                                                     | C++      |          9 |         44 |          8 |         61 |
| /home/zl/gem5/src/sim/probe/probe.cc                                                                                                   | C++      |         80 |         36 |         13 |        129 |
| /home/zl/gem5/src/sim/probe/probe.hh                                                                                                   | C++      |        107 |        160 |         27 |        294 |
| /home/zl/gem5/src/sim/process.cc                                                                                                       | C++      |        330 |        118 |         79 |        527 |
| /home/zl/gem5/src/sim/process.hh                                                                                                       | C++      |        116 |        127 |         49 |        292 |
| /home/zl/gem5/src/sim/process_impl.hh                                                                                                  | C++      |         23 |         29 |          7 |         59 |
| /home/zl/gem5/src/sim/proxy_ptr.hh                                                                                                     | C++      |        287 |         27 |         61 |        375 |
| /home/zl/gem5/src/sim/proxy_ptr.test.cc                                                                                                | C++      |        351 |         52 |        117 |        520 |
| /home/zl/gem5/src/sim/pseudo_inst.cc                                                                                                   | C++      |        398 |        114 |        101 |        613 |
| /home/zl/gem5/src/sim/pseudo_inst.hh                                                                                                   | C++      |        178 |         54 |         48 |        280 |
| /home/zl/gem5/src/sim/py_interact.cc                                                                                                   | C++      |         16 |         27 |          6 |         49 |
| /home/zl/gem5/src/sim/py_interact.hh                                                                                                   | C++      |          4 |         30 |          5 |         39 |
| /home/zl/gem5/src/sim/python.cc                                                                                                        | C++      |         16 |         26 |          5 |         47 |
| /home/zl/gem5/src/sim/redirect_path.cc                                                                                                 | C++      |         26 |         27 |          9 |         62 |
| /home/zl/gem5/src/sim/redirect_path.hh                                                                                                 | C++      |         17 |         39 |          8 |         64 |
| /home/zl/gem5/src/sim/root.cc                                                                                                          | C++      |         90 |         40 |         19 |        149 |
| /home/zl/gem5/src/sim/root.hh                                                                                                          | C++      |         43 |         52 |         17 |        112 |
| /home/zl/gem5/src/sim/se_signal.cc                                                                                                     | C++      |         10 |         29 |          5 |         44 |
| /home/zl/gem5/src/sim/se_signal.hh                                                                                                     | C++      |         12 |         29 |          6 |         47 |
| /home/zl/gem5/src/sim/serialize.cc                                                                                                     | C++      |        226 |         81 |         46 |        353 |
| /home/zl/gem5/src/sim/serialize.hh                                                                                                     | C++      |        394 |        402 |        115 |        911 |
| /home/zl/gem5/src/sim/sim_events.cc                                                                                                    | C++      |         97 |         54 |         25 |        176 |
| /home/zl/gem5/src/sim/sim_events.hh                                                                                                    | C++      |         46 |         51 |         20 |        117 |
| /home/zl/gem5/src/sim/sim_exit.hh                                                                                                      | C++      |         12 |         35 |          8 |         55 |
| /home/zl/gem5/src/sim/sim_object.cc                                                                                                    | C++      |        103 |         55 |         26 |        184 |
| /home/zl/gem5/src/sim/sim_object.hh                                                                                                    | C++      |         60 |        218 |         34 |        312 |
| /home/zl/gem5/src/sim/simulate.cc                                                                                                      | C++      |        115 |         73 |         36 |        224 |
| /home/zl/gem5/src/sim/simulate.hh                                                                                                      | C++      |          4 |         27 |          4 |         35 |
| /home/zl/gem5/src/sim/stat_control.cc                                                                                                  | C++      |        181 |         70 |         42 |        293 |
| /home/zl/gem5/src/sim/stat_control.hh                                                                                                  | C++      |         15 |         60 |         12 |         87 |
| /home/zl/gem5/src/sim/stat_register.cc                                                                                                 | C++      |         11 |         36 |          7 |         54 |
| /home/zl/gem5/src/sim/stat_register.hh                                                                                                 | C++      |          7 |         40 |          7 |         54 |
| /home/zl/gem5/src/sim/stats.hh                                                                                                         | C++      |          7 |         27 |          5 |         39 |
| /home/zl/gem5/src/sim/sub_system.cc                                                                                                    | C++      |         31 |         37 |          7 |         75 |
| /home/zl/gem5/src/sim/sub_system.hh                                                                                                    | C++      |         20 |         44 |         12 |         76 |
| /home/zl/gem5/src/sim/syscall_abi.hh                                                                                                   | C++      |         78 |         32 |         19 |        129 |
| /home/zl/gem5/src/sim/syscall_debug_macros.hh                                                                                          | C++      |         10 |         47 |          5 |         62 |
| /home/zl/gem5/src/sim/syscall_desc.cc                                                                                                  | C++      |         16 |         28 |          7 |         51 |
| /home/zl/gem5/src/sim/syscall_desc.hh                                                                                                  | C++      |        111 |         71 |         27 |        209 |
| /home/zl/gem5/src/sim/syscall_emul.cc                                                                                                  | C++      |      1,113 |        247 |        292 |      1,652 |
| /home/zl/gem5/src/sim/syscall_emul.hh                                                                                                  | C++      |      1,680 |        525 |        401 |      2,606 |
| /home/zl/gem5/src/sim/syscall_emul_buf.hh                                                                                              | C++      |         49 |         98 |         22 |        169 |
| /home/zl/gem5/src/sim/syscall_return.hh                                                                                                | C++      |         47 |         64 |         19 |        130 |
| /home/zl/gem5/src/sim/system.cc                                                                                                        | C++      |        504 |         63 |         98 |        665 |
| /home/zl/gem5/src/sim/system.hh                                                                                                        | C++      |        274 |        252 |        112 |        638 |
| /home/zl/gem5/src/sim/ticked_object.cc                                                                                                 | C++      |         75 |         44 |         16 |        135 |
| /home/zl/gem5/src/sim/ticked_object.hh                                                                                                 | C++      |         73 |         80 |         28 |        181 |
| /home/zl/gem5/src/sim/vma.cc                                                                                                           | C++      |         89 |         42 |         25 |        156 |
| /home/zl/gem5/src/sim/vma.hh                                                                                                           | C++      |         84 |         82 |         33 |        199 |
| /home/zl/gem5/src/sim/voltage_domain.cc                                                                                                | C++      |         89 |         42 |         21 |        152 |
| /home/zl/gem5/src/sim/voltage_domain.hh                                                                                                | C++      |         46 |         93 |         21 |        160 |
| /home/zl/gem5/src/sim/workload.hh                                                                                                      | C++      |         61 |         40 |         17 |        118 |
| /home/zl/gem5/src/systemc/Tlm.py                                                                                                       | Python   |         30 |         24 |         12 |         66 |
| /home/zl/gem5/src/systemc/channel/messages.cc                                                                                          | C++      |         85 |         26 |          8 |        119 |
| /home/zl/gem5/src/systemc/channel/sc_clock.cc                                                                                          | C++      |        147 |         26 |         25 |        198 |
| /home/zl/gem5/src/systemc/channel/sc_event_queue.cc                                                                                    | C++      |         44 |         26 |         11 |         81 |
| /home/zl/gem5/src/systemc/channel/sc_in_resolved.cc                                                                                    | C++      |         21 |         26 |          8 |         55 |
| /home/zl/gem5/src/systemc/channel/sc_inout_resolved.cc                                                                                 | C++      |         54 |         26 |         13 |         93 |
| /home/zl/gem5/src/systemc/channel/sc_mutex.cc                                                                                          | C++      |         36 |         26 |         10 |         72 |
| /home/zl/gem5/src/systemc/channel/sc_out_resolved.cc                                                                                   | C++      |         39 |         26 |         10 |         75 |
| /home/zl/gem5/src/systemc/channel/sc_semaphore.cc                                                                                      | C++      |         42 |         26 |         12 |         80 |
| /home/zl/gem5/src/systemc/channel/sc_signal.cc                                                                                         | C++      |        146 |         26 |         29 |        201 |
| /home/zl/gem5/src/systemc/channel/sc_signal_resolved.cc                                                                                | C++      |         59 |         28 |         14 |        101 |
| /home/zl/gem5/src/systemc/core/SystemC.py                                                                                              | Python   |         29 |         36 |          9 |         74 |
| /home/zl/gem5/src/systemc/core/channel.cc                                                                                              | C++      |         25 |         26 |         10 |         61 |
| /home/zl/gem5/src/systemc/core/channel.hh                                                                                              | C++      |         22 |         26 |         13 |         61 |
| /home/zl/gem5/src/systemc/core/event.cc                                                                                                | C++      |        167 |         29 |         37 |        233 |
| /home/zl/gem5/src/systemc/core/event.hh                                                                                                | C++      |        111 |         28 |         30 |        169 |
| /home/zl/gem5/src/systemc/core/kernel.cc                                                                                               | C++      |        133 |         27 |         33 |        193 |
| /home/zl/gem5/src/systemc/core/kernel.hh                                                                                               | C++      |         28 |         33 |         15 |         76 |
| /home/zl/gem5/src/systemc/core/list.hh                                                                                                 | C++      |         58 |         36 |         18 |        112 |
| /home/zl/gem5/src/systemc/core/messages.cc                                                                                             | C++      |        211 |         26 |          8 |        245 |
| /home/zl/gem5/src/systemc/core/module.cc                                                                                               | C++      |        154 |         32 |         28 |        214 |
| /home/zl/gem5/src/systemc/core/module.hh                                                                                               | C++      |        109 |         26 |         31 |        166 |
| /home/zl/gem5/src/systemc/core/object.cc                                                                                               | C++      |        238 |         28 |         60 |        326 |
| /home/zl/gem5/src/systemc/core/object.hh                                                                                               | C++      |         64 |         29 |         28 |        121 |
| /home/zl/gem5/src/systemc/core/port.cc                                                                                                 | C++      |        121 |         26 |         23 |        170 |
| /home/zl/gem5/src/systemc/core/port.hh                                                                                                 | C++      |        106 |         27 |         33 |        166 |
| /home/zl/gem5/src/systemc/core/process.cc                                                                                              | C++      |        331 |         42 |         67 |        440 |
| /home/zl/gem5/src/systemc/core/process.hh                                                                                              | C++      |        156 |         27 |         64 |        247 |
| /home/zl/gem5/src/systemc/core/process_types.hh                                                                                        | C++      |         81 |         27 |         21 |        129 |
| /home/zl/gem5/src/systemc/core/python.cc                                                                                               | C++      |         45 |         26 |         14 |         85 |
| /home/zl/gem5/src/systemc/core/python.hh                                                                                               | C++      |         21 |         26 |         10 |         57 |
| /home/zl/gem5/src/systemc/core/sc_attr.cc                                                                                              | C++      |         71 |         26 |         19 |        116 |
| /home/zl/gem5/src/systemc/core/sc_event.cc                                                                                             | C++      |        307 |         43 |         75 |        425 |
| /home/zl/gem5/src/systemc/core/sc_export.cc                                                                                            | C++      |         38 |         26 |         10 |         74 |
| /home/zl/gem5/src/systemc/core/sc_interface.cc                                                                                         | C++      |         15 |         26 |          6 |         47 |
| /home/zl/gem5/src/systemc/core/sc_join.cc                                                                                              | C++      |         26 |         26 |          9 |         61 |
| /home/zl/gem5/src/systemc/core/sc_main.cc                                                                                              | C++      |        183 |         27 |         29 |        239 |
| /home/zl/gem5/src/systemc/core/sc_main_fiber.cc                                                                                        | C++      |         39 |         32 |         10 |         81 |
| /home/zl/gem5/src/systemc/core/sc_main_fiber.hh                                                                                        | C++      |         32 |         26 |         13 |         71 |
| /home/zl/gem5/src/systemc/core/sc_main_python.cc                                                                                       | C++      |         54 |         37 |         15 |        106 |
| /home/zl/gem5/src/systemc/core/sc_module.cc                                                                                            | C++      |        723 |         26 |        117 |        866 |
| /home/zl/gem5/src/systemc/core/sc_module_name.cc                                                                                       | C++      |         32 |         26 |          9 |         67 |
| /home/zl/gem5/src/systemc/core/sc_object.cc                                                                                            | C++      |        117 |         26 |         30 |        173 |
| /home/zl/gem5/src/systemc/core/sc_port.cc                                                                                              | C++      |         71 |         26 |         16 |        113 |
| /home/zl/gem5/src/systemc/core/sc_prim.cc                                                                                              | C++      |        176 |         26 |         38 |        240 |
| /home/zl/gem5/src/systemc/core/sc_process_handle.cc                                                                                    | C++      |        253 |         26 |         50 |        329 |
| /home/zl/gem5/src/systemc/core/sc_sensitive.cc                                                                                         | C++      |        102 |         26 |         21 |        149 |
| /home/zl/gem5/src/systemc/core/sc_simcontext.cc                                                                                        | C++      |         51 |         26 |         14 |         91 |
| /home/zl/gem5/src/systemc/core/sc_spawn.cc                                                                                             | C++      |        159 |         26 |         43 |        228 |
| /home/zl/gem5/src/systemc/core/sc_time.cc                                                                                              | C++      |        342 |         40 |         73 |        455 |
| /home/zl/gem5/src/systemc/core/sc_time_python.cc                                                                                       | C++      |         43 |         29 |          9 |         81 |
| /home/zl/gem5/src/systemc/core/sched_event.cc                                                                                          | C++      |         10 |         26 |          6 |         42 |
| /home/zl/gem5/src/systemc/core/sched_event.hh                                                                                          | C++      |         47 |         26 |         17 |         90 |
| /home/zl/gem5/src/systemc/core/scheduler.cc                                                                                            | C++      |        416 |         51 |         71 |        538 |
| /home/zl/gem5/src/systemc/core/scheduler.hh                                                                                            | C++      |        281 |        158 |         87 |        526 |
| /home/zl/gem5/src/systemc/core/sensitivity.cc                                                                                          | C++      |        168 |         41 |         43 |        252 |
| /home/zl/gem5/src/systemc/core/sensitivity.hh                                                                                          | C++      |        189 |         44 |         67 |        300 |
| /home/zl/gem5/src/systemc/core/time.cc                                                                                                 | C++      |         37 |         26 |          9 |         72 |
| /home/zl/gem5/src/systemc/core/time.hh                                                                                                 | C++      |         11 |         26 |          7 |         44 |
| /home/zl/gem5/src/systemc/dt/bit/messages.cc                                                                                           | C++      |         41 |         26 |          8 |         75 |
| /home/zl/gem5/src/systemc/dt/bit/sc_bit.cc                                                                                             | C++      |         51 |         63 |         16 |        130 |
| /home/zl/gem5/src/systemc/dt/bit/sc_bv_base.cc                                                                                         | C++      |        138 |         72 |         23 |        233 |
| /home/zl/gem5/src/systemc/dt/bit/sc_logic.cc                                                                                           | C++      |         89 |         53 |         25 |        167 |
| /home/zl/gem5/src/systemc/dt/bit/sc_lv_base.cc                                                                                         | C++      |        102 |         60 |         21 |        183 |
| /home/zl/gem5/src/systemc/dt/fx/messages.cc                                                                                            | C++      |         34 |         26 |          8 |         68 |
