Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| systemc/tests/systemc/kernel/dynamic_processes/sc_join/test04                                                                          |          2 |         56 |         35 |         13 |        104 |
| systemc/tests/systemc/kernel/dynamic_processes/sc_join/test04/golden                                                                   |          1 |         11 |          0 |          1 |         12 |
| systemc/tests/systemc/kernel/dynamic_processes/sc_join/test05                                                                          |          2 |         49 |         34 |         11 |         94 |
| systemc/tests/systemc/kernel/dynamic_processes/sc_join/test05/golden                                                                   |          1 |         10 |          0 |          1 |         11 |
| systemc/tests/systemc/kernel/dynamic_processes/sc_spawn_options                                                                        |          2 |        101 |         39 |         27 |        167 |
| systemc/tests/systemc/kernel/dynamic_processes/sc_spawn_options/test01                                                                 |          2 |        101 |         39 |         27 |        167 |
| systemc/tests/systemc/kernel/dynamic_processes/sc_spawn_options/test01/golden                                                          |          1 |         23 |          0 |          4 |         27 |
| systemc/tests/systemc/kernel/dynamic_processes/test01                                                                                  |          2 |        130 |         44 |         44 |        218 |
| systemc/tests/systemc/kernel/dynamic_processes/test01/golden                                                                           |          1 |         40 |          0 |          8 |         48 |
| systemc/tests/systemc/kernel/dynamic_processes/test02                                                                                  |          2 |        111 |         42 |         35 |        188 |
| systemc/tests/systemc/kernel/dynamic_processes/test02/golden                                                                           |          1 |         17 |          0 |          9 |         26 |
| systemc/tests/systemc/kernel/dynamic_processes/test03                                                                                  |          2 |         45 |         39 |         15 |         99 |
| systemc/tests/systemc/kernel/dynamic_processes/test03/golden                                                                           |          1 |          6 |          0 |          3 |          9 |
| systemc/tests/systemc/kernel/dynamic_processes/test04                                                                                  |          2 |         72 |         39 |         27 |        138 |
| systemc/tests/systemc/kernel/dynamic_processes/test04/golden                                                                           |          1 |          5 |          0 |          4 |          9 |
| systemc/tests/systemc/kernel/dynamic_processes/test05                                                                                  |          2 |         27 |         37 |          8 |         72 |
| systemc/tests/systemc/kernel/dynamic_processes/test05/golden                                                                           |          1 |          4 |          0 |          2 |          6 |
| systemc/tests/systemc/kernel/dynamic_processes/test06                                                                                  |          2 |         39 |         37 |         13 |         89 |
| systemc/tests/systemc/kernel/dynamic_processes/test06/golden                                                                           |          1 |          9 |          0 |          1 |         10 |
| systemc/tests/systemc/kernel/dynamic_processes/test07                                                                                  |          2 |        150 |         40 |         14 |        204 |
| systemc/tests/systemc/kernel/dynamic_processes/test07/golden                                                                           |          1 |        100 |          0 |          1 |        101 |
| systemc/tests/systemc/kernel/dynamic_processes/test08                                                                                  |          2 |         57 |         44 |         11 |        112 |
| systemc/tests/systemc/kernel/dynamic_processes/test08/golden                                                                           |          1 |          6 |          0 |          2 |          8 |
| systemc/tests/systemc/kernel/dynamic_processes/test09                                                                                  |          2 |        262 |         51 |         56 |        369 |
| systemc/tests/systemc/kernel/dynamic_processes/test09/golden                                                                           |          1 |        126 |          0 |         37 |        163 |
| systemc/tests/systemc/kernel/dynamic_processes/test10                                                                                  |          2 |        134 |         41 |         17 |        192 |
| systemc/tests/systemc/kernel/dynamic_processes/test10/golden                                                                           |          1 |         14 |          0 |          2 |         16 |
| systemc/tests/systemc/kernel/kind_string                                                                                               |          3 |         89 |         71 |         30 |        190 |
| systemc/tests/systemc/kernel/kind_string/test01                                                                                        |          3 |         89 |         71 |         30 |        190 |
| systemc/tests/systemc/kernel/kind_string/test01/golden                                                                                 |          1 |         26 |          0 |          1 |         27 |
| systemc/tests/systemc/kernel/module_method_after_sc_start                                                                              |          2 |         38 |          0 |          9 |         47 |
| systemc/tests/systemc/kernel/module_method_after_sc_start/golden                                                                       |          1 |          4 |          0 |          2 |          6 |
| systemc/tests/systemc/kernel/module_thread_after_sc_start                                                                              |          2 |         38 |          0 |          9 |         47 |
| systemc/tests/systemc/kernel/module_thread_after_sc_start/golden                                                                       |          1 |          4 |          0 |          2 |          6 |
| systemc/tests/systemc/kernel/phase_callbacks                                                                                           |         10 |        717 |        115 |        128 |        960 |
| systemc/tests/systemc/kernel/phase_callbacks/test01                                                                                    |          2 |         53 |          0 |         13 |         66 |
| systemc/tests/systemc/kernel/phase_callbacks/test01/golden                                                                             |          1 |          6 |          0 |          2 |          8 |
| systemc/tests/systemc/kernel/phase_callbacks/test02                                                                                    |          2 |         53 |          0 |         13 |         66 |
| systemc/tests/systemc/kernel/phase_callbacks/test02/golden                                                                             |          1 |          6 |          0 |          2 |          8 |
| systemc/tests/systemc/kernel/phase_callbacks/test03                                                                                    |          2 |        112 |         32 |         28 |        172 |
| systemc/tests/systemc/kernel/phase_callbacks/test03/golden                                                                             |          1 |         22 |          0 |          1 |         23 |
| systemc/tests/systemc/kernel/phase_callbacks/test04                                                                                    |          2 |        215 |         42 |         46 |        303 |
| systemc/tests/systemc/kernel/phase_callbacks/test04/golden                                                                             |          1 |         69 |          0 |         12 |         81 |
| systemc/tests/systemc/kernel/phase_callbacks/test05                                                                                    |          2 |        284 |         41 |         28 |        353 |
| systemc/tests/systemc/kernel/phase_callbacks/test05/golden                                                                             |          1 |        108 |          0 |          2 |        110 |
| systemc/tests/systemc/kernel/process_control                                                                                           |         30 |      2,286 |        638 |        438 |      3,362 |
| systemc/tests/systemc/kernel/process_control/disable_enable                                                                            |          4 |        365 |         74 |        101 |        540 |
| systemc/tests/systemc/kernel/process_control/disable_enable/test1                                                                      |          2 |        153 |         38 |         41 |        232 |
| systemc/tests/systemc/kernel/process_control/disable_enable/test1/golden                                                               |          1 |         18 |          0 |         12 |         30 |
| systemc/tests/systemc/kernel/process_control/disable_enable/test2                                                                      |          2 |        212 |         36 |         60 |        308 |
| systemc/tests/systemc/kernel/process_control/disable_enable/test2/golden                                                               |          1 |         58 |          0 |         27 |         85 |
| systemc/tests/systemc/kernel/process_control/reset                                                                                     |          4 |        122 |         63 |         24 |        209 |
| systemc/tests/systemc/kernel/process_control/reset/method_reset_throw                                                                  |          2 |         72 |         24 |         15 |        111 |
| systemc/tests/systemc/kernel/process_control/reset/method_reset_throw/golden                                                           |          1 |          7 |          0 |          1 |          8 |
| systemc/tests/systemc/kernel/process_control/reset/method_self_reset                                                                   |          2 |         50 |         39 |          9 |         98 |
| systemc/tests/systemc/kernel/process_control/reset/method_self_reset/golden                                                            |          1 |         14 |          0 |          1 |         15 |
| systemc/tests/systemc/kernel/process_control/suspend_resume                                                                            |          4 |        378 |         98 |        101 |        577 |
| systemc/tests/systemc/kernel/process_control/suspend_resume/test1                                                                      |          2 |        158 |         49 |         41 |        248 |
| systemc/tests/systemc/kernel/process_control/suspend_resume/test1/golden                                                               |          1 |         19 |          0 |         12 |         31 |
| systemc/tests/systemc/kernel/process_control/suspend_resume/test2                                                                      |          2 |        220 |         49 |         60 |        329 |
| systemc/tests/systemc/kernel/process_control/suspend_resume/test2/golden                                                               |          1 |         64 |          0 |         27 |         91 |
| systemc/tests/systemc/kernel/process_control/test01                                                                                    |          2 |        259 |         63 |         16 |        338 |
| systemc/tests/systemc/kernel/process_control/test01/golden                                                                             |          1 |         72 |          0 |          5 |         77 |
| systemc/tests/systemc/kernel/process_control/test02                                                                                    |          2 |        175 |         66 |         22 |        263 |
| systemc/tests/systemc/kernel/process_control/test02/golden                                                                             |          1 |         22 |          0 |          3 |         25 |
| systemc/tests/systemc/kernel/process_control/test03                                                                                    |          2 |        329 |         77 |         54 |        460 |
| systemc/tests/systemc/kernel/process_control/test03/golden                                                                             |          1 |         64 |          0 |         10 |         74 |
| systemc/tests/systemc/kernel/process_control/test04                                                                                    |          2 |        100 |         48 |         11 |        159 |
| systemc/tests/systemc/kernel/process_control/test04/golden                                                                             |          1 |         19 |          0 |          2 |         21 |
| systemc/tests/systemc/kernel/process_control/test05                                                                                    |          2 |         70 |         39 |         15 |        124 |
| systemc/tests/systemc/kernel/process_control/test05/golden                                                                             |          1 |          9 |          0 |          2 |         11 |
| systemc/tests/systemc/kernel/process_control/test06                                                                                    |          2 |        119 |         10 |         24 |        153 |
| systemc/tests/systemc/kernel/process_control/test06/golden                                                                             |          1 |         20 |          0 |          2 |         22 |
| systemc/tests/systemc/kernel/process_control/test07                                                                                    |          2 |        240 |         48 |         42 |        330 |
| systemc/tests/systemc/kernel/process_control/test07/golden                                                                             |          1 |        120 |          0 |          5 |        125 |
| systemc/tests/systemc/kernel/process_control/test08                                                                                    |          2 |         79 |         48 |         18 |        145 |
| systemc/tests/systemc/kernel/process_control/test08/golden                                                                             |          1 |         15 |          0 |          2 |         17 |
| systemc/tests/systemc/kernel/process_control/throw_it                                                                                  |          2 |         50 |          4 |         10 |         64 |
| systemc/tests/systemc/kernel/process_control/throw_it/test1                                                                            |          2 |         50 |          4 |         10 |         64 |
| systemc/tests/systemc/kernel/process_control/throw_it/test1/golden                                                                     |          1 |          5 |          0 |          1 |          6 |
| systemc/tests/systemc/kernel/reset_signal_is                                                                                           |         10 |        430 |        172 |         82 |        684 |
| systemc/tests/systemc/kernel/reset_signal_is/test01                                                                                    |          2 |         70 |         34 |         12 |        116 |
| systemc/tests/systemc/kernel/reset_signal_is/test01/golden                                                                             |          1 |          8 |          0 |          1 |          9 |
| systemc/tests/systemc/kernel/reset_signal_is/test02                                                                                    |          2 |         52 |         34 |         10 |         96 |
| systemc/tests/systemc/kernel/reset_signal_is/test02/golden                                                                             |          1 |          9 |          0 |          2 |         11 |
| systemc/tests/systemc/kernel/reset_signal_is/test03                                                                                    |          2 |         48 |         34 |          9 |         91 |
| systemc/tests/systemc/kernel/reset_signal_is/test03/golden                                                                             |          1 |          9 |          0 |          1 |         10 |
| systemc/tests/systemc/kernel/reset_signal_is/test04                                                                                    |          2 |         52 |         34 |         10 |         96 |
| systemc/tests/systemc/kernel/reset_signal_is/test04/golden                                                                             |          1 |          9 |          0 |          2 |         11 |
| systemc/tests/systemc/kernel/reset_signal_is/test05                                                                                    |          2 |        208 |         36 |         41 |        285 |
| systemc/tests/systemc/kernel/reset_signal_is/test05/golden                                                                             |          1 |         53 |          0 |         11 |         64 |
| systemc/tests/systemc/kernel/sc_attribute                                                                                              |          4 |        111 |         71 |         36 |        218 |
| systemc/tests/systemc/kernel/sc_attribute/test01                                                                                       |          2 |         33 |         35 |         13 |         81 |
| systemc/tests/systemc/kernel/sc_attribute/test01/golden                                                                                |          1 |          5 |          0 |          1 |          6 |
| systemc/tests/systemc/kernel/sc_attribute/test02                                                                                       |          2 |         78 |         36 |         23 |        137 |
| systemc/tests/systemc/kernel/sc_attribute/test02/golden                                                                                |          1 |         17 |          0 |          5 |         22 |
| systemc/tests/systemc/kernel/sc_elab_and_sim                                                                                           |          2 |         26 |          0 |          8 |         34 |
| systemc/tests/systemc/kernel/sc_elab_and_sim/golden                                                                                    |          1 |          2 |          0 |          1 |          3 |
| systemc/tests/systemc/kernel/sc_event                                                                                                  |         30 |      2,351 |        637 |        441 |      3,429 |
| systemc/tests/systemc/kernel/sc_event/test01                                                                                           |          2 |         85 |         40 |         15 |        140 |
| systemc/tests/systemc/kernel/sc_event/test01/golden                                                                                    |          1 |         42 |          0 |          2 |         44 |
